数据挖掘工程师,8,15,北京,0,0,本科,全职
数据挖掘工程师,20,40,北京,3,5,本科,全职
数据挖掘工程师,18,36,北京,3,5,本科,全职
机器学习/数据挖掘工程师,10,20,北京,0,0,本科,实习
数据挖掘实习生,3,6,北京,0,0,硕士,实习
数据挖掘工程师,15,30,北京,3,5,本科,全职
数据挖掘工程师/专家,30,60,北京,3,5,本科,全职
数据挖掘实习生,3,5,北京,0,0,本科,全职
数据挖掘工程师/NLP高级工...,25,40,深圳,1,3,本科,全职
数据挖掘工程师,20,40,北京,0,0,本科,全职
数据挖掘工程师,25,35,北京,3,5,本科,全职
数据挖掘,30,60,上海,3,5,硕士,全职
数据挖掘工程师,15,30,北京,1,3,本科,全职
数据挖掘工程师,25,40,北京,3,5,硕士,全职
数据挖掘工程师,15,30,武汉,3,5,本科,全职
数据挖掘工程师,8,16,成都,1,3,本科,全职
数据挖掘工程师,13,20,苏州,3,5,本科,全职
数据挖掘,20,40,北京,5,10,本科,全职
机器学习/数据挖掘工程师,10,20,上海,0,0,本科,实习
高级数据挖掘工程师,25,50,北京,3,5,本科,全职
数据挖掘初级工程师,30,50,北京,1,3,本科,全职
数据挖掘工程师-语音识别,20,40,北京,3,5,本科,全职
数据挖掘与建模专员,15,30,北京,1,3,本科,全职
数据挖掘专家,20,30,北京,5,10,本科,全职
数据挖掘工程师,20,40,北京,3,5,本科,全职
数据挖掘/模型开发工程师,15,30,北京,1,3,本科,全职
数据挖掘工程师,15,30,深圳,1,3,本科,全职
数据挖掘工程师,15,25,北京,1,3,本科,全职
数据挖掘,20,30,上海,3,5,本科,全职
数据挖掘专家-SH,18,32,上海,3,5,本科,全职
数据挖掘工程师,15,20,广州,3,5,本科,全职
数据挖掘工程师,20,40,北京,1,3,本科,全职
算法-数据挖掘,35,70,北京,3,5,硕士,全职
数据挖掘工程师（增长）,25,50,北京,3,5,本科,全职
数据挖掘工程师,15,30,北京,1,3,本科,全职
数据挖掘,15,22,成都,3,5,本科,全职
